EmployeeID,Name,Department,MonthlySalary,PerformanceScore
EMP00853,"Victor Edwards",Finance,3495,94
EMP01888,"Steven Cook",Finance,3148,94
EMP00798,"Michael Perry PhD",Finance,5600,93
EMP01793,"Tyler Baker",Finance,6933,93
EMP00492,"Heather Bolton",Finance,6569,93
EMP00606,"Todd Rosales MD",Finance,3228,92
EMP01923,"Brittany Young",Finance,6815,91
EMP01494,"Mario White",Finance,6625,89
EMP01800,"Martin Fitzpatrick",Finance,3564,89
EMP00584,"Denise Martinez",Finance,4706,89
EMP00722,"Raymond Johnson",Finance,4104,88
EMP00877,"Michael Miles",Finance,5905,88
EMP02220,"John Johnson",Finance,5705,88
EMP02010,"Garrett Wilson",Finance,8956,88
EMP02110,"Sydney Welch",Finance,4129,87
EMP01720,"Jessica Haas",Finance,5886,86
EMP02023,"Richard Schneider",Finance,8988,86
EMP01899,"Patrick Perez",Finance,5823,86
EMP01856,"Richard Washington",Finance,7284,86
EMP02215,"Calvin Smith",Finance,5032,85
EMP00074,"Lauren Daniels",Finance,5313,85
EMP01749,"Jennifer Yu",Finance,7845,85
EMP02350,"Christina Faulkner",Finance,7228,85
EMP01420,"Kimberly Nelson",Finance,6149,84
EMP01054,"Robert Torres",Finance,6518,83
EMP01833,"Pamela Watkins",Finance,7042,83
EMP01787,"Stephanie Dominguez",Finance,6535,82
EMP00595,"Tanya Russell",Finance,8583,82
EMP00975,"Taylor Taylor",Finance,8253,82
EMP01433,"Omar Price",Finance,6555,81
EMP01591,"David Sullivan",HR,5241,99
EMP02334,"Allison Kim",HR,4209,98
EMP02008,"Mrs. Ashley Taylor",HR,4603,98
EMP00376,"Paul Lewis",HR,8074,97
EMP00778,"Cody Davidson",HR,6644,97
EMP01581,"Debra Bradley",HR,7689,96
EMP01733,"Angela May MD",HR,4093,95
EMP01748,"Jose Harrison",HR,8210,95
EMP02188,"Bonnie Wade",HR,4645,95
EMP02020,"Kurt Ewing",HR,5096,94
EMP00487,"Monica Miller",HR,5939,93
EMP00783,"Chelsea Nguyen",HR,6174,92
EMP01763,"Wyatt Townsend II",HR,6861,92
EMP00134,"Daniel Kennedy",HR,3494,91
EMP00076,"Sarah Moore",HR,4231,91
EMP01714,"Ann Montoya",HR,8666,90
EMP01295,"Robert Cortez",HR,6019,89
EMP00463,"Riley Bryant",HR,8417,89
EMP02343,"Paul Willis",HR,5544,89
EMP00830,"Kenneth Knight",HR,7920,88
EMP00803,"Reginald Morrow",HR,8840,86
EMP02281,"Jennifer Gonzalez",HR,8984,86
EMP02013,"Scott Lopez",HR,8073,86
EMP02065,"Elizabeth Brock",HR,4044,85
EMP01098,"Nicholas Carlson",HR,6924,85
EMP00530,"Angel May",HR,5061,85
EMP00354,"Michael Farrell",HR,5244,85
EMP00404,"Kathleen Webster",HR,6793,84
EMP01616,"Randy Griffin",HR,5064,83
EMP00337,"Daniel Kane",HR,7471,82
EMP01454,"Amanda Pineda",HR,6443,82
EMP02493,"Richard Medina",IT,3331,99
EMP01522,"Richard Reyes",IT,4687,99
EMP00951,"Rebecca Kelly",IT,8091,98
EMP00591,"Laurie Sanchez",IT,6510,98
EMP01434,"Dennis Henderson",IT,8111,96
EMP00214,"Katherine Salas",IT,8254,96
EMP00429,"Robin Santiago",IT,8308,96
EMP01472,"Kristen Jones",IT,7332,95
EMP00158,"Jason Stein",IT,7534,94
EMP00705,"Shannon Malone",IT,6462,94
EMP01366,"Debra Valentine",IT,7573,94
EMP01664,"Jason Crawford",IT,3954,93
EMP00730,"Derrick Anderson",IT,7846,93
EMP00102,"Cameron Parker",IT,8560,92
EMP01781,"Daniel Campbell",IT,3162,91
EMP01512,"Kevin Hall",IT,6459,91
EMP02385,"Austin Green",IT,4906,90
EMP02309,"Jennifer Martinez",IT,7869,90
EMP02130,"Valerie Gonzalez",IT,7016,90
EMP02045,"Russell Bailey",IT,4849,89
EMP02397,"Vanessa Coleman",IT,4428,88
EMP01086,"Katherine Welch",IT,5603,88
EMP00123,"April Frost",IT,4141,88
EMP02318,"Lisa Gill",IT,3943,87
EMP00868,"Michael Miller",IT,7654,87
EMP02403,"Gavin Bauer",IT,3555,86
EMP01360,"Austin Schultz",IT,6151,86
EMP02038,"Michael Henry",IT,8231,85
EMP02352,"Jessica Buck",IT,3120,84
EMP01758,"Kevin Hernandez",IT,6932,84
EMP00170,"Daniel Murphy",IT,8730,84
EMP00652,"Amber Yang",IT,6768,84
EMP01091,"Vincent Reyes",IT,4680,83
EMP00676,"Larry Harris",IT,4133,82
EMP00839,"Michael Young",IT,7212,82
EMP01544,"Jerry Johnson",IT,5044,81
EMP00821,"Debra Perry",IT,5223,81
EMP01126,"Peter Williams",Marketing,5623,98
EMP02335,"Scott Stewart",Marketing,8153,97
EMP01370,"Brittney Rodriguez",Marketing,8233,96
EMP01634,"Michael Hill",Marketing,7421,96
EMP00248,"Frank Cordova",Marketing,4378,94
EMP00614,"David Molina",Marketing,3498,93
EMP00861,"Vanessa Hatfield",Marketing,3156,93
EMP02417,"Andrea Clarke",Marketing,5773,92
EMP00828,"Claudia Jordan",Marketing,7823,92
EMP00716,"David Davenport",Marketing,7703,92
EMP02125,"Michael Serrano",Marketing,7727,92
EMP01033,"William Ramos",Marketing,6840,91
EMP01270,"Amanda Perkins",Marketing,4204,90
EMP01855,"Patrick Buckley",Marketing,3229,90
EMP00504,"Zachary Mitchell",Marketing,8068,89
EMP01083,"Brenda Gonzalez",Marketing,8413,89
EMP02365,"Joe Greene",Marketing,4196,89
EMP01774,"Shannon Rogers",Marketing,5735,88
EMP00398,"Gary Jackson",Marketing,4167,87
EMP02370,"Mariah Jones",Marketing,3028,87
EMP01917,"Carlos Clarke",Marketing,7597,86
EMP00672,"Kristin Mendoza",Marketing,4317,85
EMP01139,"Jason Williams",Marketing,5135,85
EMP01689,"Melissa Jensen",Marketing,5581,85
EMP02083,"Robert Hopkins",Marketing,7271,85
EMP01439,"Lisa Nelson",Marketing,7016,84
EMP00826,"Monica Ellis",Marketing,3343,84
EMP00068,"Carol Tucker",Marketing,7321,84
EMP00817,"Tamara Riddle",Marketing,3992,84
EMP00679,"Jose Crawford",Marketing,4910,83
EMP00209,"Dr. William Warren",Marketing,5987,83
EMP02459,"Katrina Jimenez",Marketing,3453,82
EMP02319,"Julia Cole",Marketing,7550,82
EMP01712,"Brian Cervantes",Marketing,3639,82
EMP00651,"Andrew Harper",Sales,8077,99
EMP02422,"Nicole Collins",Sales,4108,97
EMP01730,"Zachary Santiago",Sales,7934,97
EMP00724,"Todd Reynolds",Sales,4861,97
EMP00246,"Donna Landry",Sales,8622,96
EMP02259,"Annette Holland",Sales,7264,95
EMP00704,"Michael Abbott",Sales,3534,93
EMP00436,"Sophia Johnson",Sales,4894,93
EMP00220,"Bailey Duran DDS",Sales,7340,92
EMP00846,"Breanna Ayala",Sales,5708,90
EMP00078,"Megan Young",Sales,8831,90
EMP02357,"Mark Richards",Sales,8694,89
EMP00832,"Richard Stevens",Sales,8471,89
EMP02011,"Kyle Collins",Sales,5441,88
EMP00327,"Brett Burns",Sales,3066,87
EMP00547,"Johnny Khan",Sales,7225,86
EMP00280,"Nathan Malone",Sales,4462,86
EMP00267,"Kimberly Gibson",Sales,3220,86
EMP02209,"Shelby Rodriguez",Sales,8317,85
EMP01479,"Lisa Morris",Sales,8303,83
EMP00358,"Jeffery Ortega",Sales,3798,83
EMP01254,"Sarah Randolph",Sales,7379,82
EMP01076,"Brandon Kelly",Sales,6732,82
EMP00259,"Denise Davenport",Sales,5048,82
EMP02129,"Maria Sims",Sales,8560,81
EMP00747,"Michael Henry",Sales,3547,81
