EmployeeID,Name,HireDate
EMP01626,"Sara Evans",1996-06-02
EMP01633,"Joshua Carter",1994-12-03
EMP01639,"Lee Stewart",1997-06-17
EMP01644,"Alexander Garrett",1999-11-03
EMP01651,"Christopher Rivera",1998-07-25
EMP01664,"Jason Crawford",1998-02-26
EMP01675,"Linda Miller",1999-09-17
EMP01677,"Emily Lane",1998-10-01
EMP01678,"Steven Flores",1999-02-25
EMP01680,"Bruce Hernandez",1995-12-15
EMP01683,"Charles Bush",1999-08-17
EMP01685,"Gina Wallace",1995-04-02
EMP01688,"Kyle Watkins",1997-09-29
EMP01690,"Robert Marquez",1996-05-20
EMP01702,"Rebecca Nguyen",1996-09-26
EMP01706,"Robert Garza",1996-05-28
EMP01708,"Cynthia Bates",1998-05-24
EMP01717,"Jean Lane",1996-04-08
EMP01719,"Susan Torres",1996-01-16
EMP01720,"Jessica Haas",1994-09-01
EMP01721,"Brandon Smith",1996-06-03
EMP01730,"Zachary Santiago",1998-01-29
EMP01738,"Cynthia Shaw",1998-06-12
EMP01739,"Joshua Richardson",1997-12-12
EMP01741,"John Vaughn",1995-02-11
EMP01746,"Rebecca Edwards",1999-01-31
EMP01764,"Mark Clark",1997-08-14
EMP01765,"Haley May",1998-04-08
EMP01766,"Audrey Jackson",1999-02-02
EMP01770,"Alexandra Ho",1998-09-29
EMP01771,"Michael Nixon",1996-01-18
EMP01779,"Megan Decker",1998-01-02
EMP01780,"Brent Garcia",1997-03-13
EMP01791,"Christopher Jones",1999-11-17
EMP01792,"Janet Cook",1996-02-21
EMP01793,"Tyler Baker",1998-12-31
EMP01809,"Joseph Woodward",1998-08-24
EMP01811,"Cassandra Williams",1996-12-14
EMP01817,"Elizabeth Ferguson",1995-05-24
EMP01822,"Brittany Riley",1999-01-14
EMP01824,"Kaitlin Hardin",1996-03-12
EMP01826,"Anthony Parker",1996-09-19
EMP01838,"Alexis Tucker",1997-03-14
EMP01852,"Michael Williams",1994-10-09
EMP01858,"Erika Gonzalez",1994-12-14
EMP01875,"Leslie Hernandez",1998-09-14
EMP01878,"Joseph Mendoza",1996-03-14
EMP01882,"Matthew Davis",1995-12-24
EMP01884,"Nicole Johnson",1999-09-10
EMP01886,"Richard Wood",1999-03-05
EMP01890,"Kimberly Norton",1996-05-27
EMP01896,"Christine Zavala",1998-08-08
EMP01897,"Brian Mendoza",1994-09-12
EMP01904,"Rebecca Dougherty",1997-06-25
EMP01909,"Shaun Meyer DDS",1999-03-13
EMP01914,"Jennifer Cooper",1996-08-06
EMP01917,"Carlos Clarke",1995-01-02
EMP01925,"Cody Hart",1995-03-08
EMP01932,"Veronica Berry",1998-04-09
EMP01957,"Sandra Torres",1999-12-12
EMP01964,"Lauren Cunningham",1999-09-12
EMP01966,"Barbara Hunt",1997-11-02
EMP01981,"Kim Arnold",1995-05-14
EMP01990,"Rachel Jones",1997-01-05
EMP01991,"Nicole Williams",1999-07-14
EMP01992,"Ricky Palmer",1997-02-06
EMP01998,"Hannah Martin",1998-01-22
EMP02001,"Daniel Lee",1999-04-28
EMP02005,"Jessica Rosario",1995-01-19
EMP02007,"Darren Rodriguez",1998-01-16
EMP02010,"Garrett Wilson",1995-05-10
EMP02011,"Kyle Collins",1998-05-24
EMP02013,"Scott Lopez",1995-02-10
EMP02017,"Charles Morales",1996-02-20
EMP02018,"Ashley Schaefer",1999-02-23
EMP02021,"Ryan Hardy",1997-06-29
EMP02023,"Richard Schneider",1999-07-03
EMP02026,"Ashley King",1995-02-09
EMP02028,"Barry Gregory",1994-12-20
EMP02030,"Marco Davis",1998-04-08
EMP02037,"Justin Dalton",1997-07-16
EMP02039,"Mike Freeman",1999-05-22
EMP02049,"Matthew Watkins",1999-11-28
EMP02051,"Alejandro Nguyen",1996-07-20
EMP02057,"Pamela Morgan",1998-11-02
EMP02058,"Heidi Graham",1995-05-16
EMP02060,"Donna Williams",1996-03-01
EMP02061,"Jennifer Perez PhD",1998-02-23
EMP02064,"Daniel Flynn",1998-02-20
EMP02068,"Catherine Smith",1999-06-23
EMP02069,"Shari Ray",1994-09-10
EMP02071,"Timothy Patel",1995-06-20
EMP02075,"Elizabeth Graham",1999-08-31
EMP02086,"Sharon Lester",1998-06-22
EMP02089,"Brian Navarro",1998-05-25
EMP02091,"Tara King",1998-02-10
EMP02094,"Paul Young",1997-03-31
EMP02097,"Katherine Brooks",1998-09-04
EMP02099,"Tracey Suarez",1997-07-14
EMP02100,"Heidi Baldwin",1996-02-15
EMP02102,"Sarah Bates",1999-10-16
EMP02111,"Pamela Sullivan",1999-10-05
EMP02120,"Mark Edwards",1998-03-09
EMP02129,"Maria Sims",1997-04-01
EMP02131,"Caroline Morales",1994-09-22
EMP02133,"Travis Wilson",1999-09-16
EMP02136,"Cheryl Atkins",1999-08-21
EMP02138,"Scott Greene",1999-09-05
EMP02146,"Anthony Cook",1996-12-09
EMP02147,"Terry Barajas",1998-07-02
EMP02152,"Debbie Gordon",1999-07-28
EMP02153,"Sherry Anderson",1997-09-23
EMP02155,"Andrew Anderson",1998-12-27
EMP02170,"Kelly Duncan",1999-05-09
EMP02186,"Martha Martinez",1997-06-30
EMP02198,"Kelly Phillips",1997-08-14
EMP02201,"Laura King",1994-09-30
EMP02204,"James Miller",1995-03-27
EMP02208,"Cody Burgess",1999-03-13
EMP02209,"Shelby Rodriguez",1998-05-25
EMP02210,"Abigail Wilson",1996-09-04
EMP02218,"Jessica Garrett",1999-05-23
EMP02221,"Christian Park",1999-07-22
EMP02230,"Jennifer Stewart",1996-07-20
EMP02232,"Johnny Mcmillan",1999-05-04
EMP02233,"Michael Smith",1998-08-21
EMP02236,"Lance Kirby",1999-07-09
EMP02239,"Morgan Flynn",1995-07-19
EMP02243,"Jason Chaney",1996-06-28
EMP02245,"Stanley Kelly",1998-04-04
EMP02248,"Barbara Walker",1997-02-27
EMP02254,"Brian Bishop",1995-09-05
EMP02255,"Theresa Colon",1999-08-25
EMP02257,"Susan Moore",1999-06-16
EMP02258,"Jeremy Hunter",1997-05-03
EMP02260,"Chad Allison",1997-04-09
EMP02261,"Jason Mack",1995-01-28
EMP02266,"Robert Gutierrez",1999-09-29
EMP02271,"Mrs. Amy Malone",1999-06-02
EMP02284,"Diane Davis DDS",1995-02-06
EMP02286,"Robert Vargas",1998-06-08
EMP02287,"Raymond Barber",1999-12-15
EMP02288,"Mrs. Amy Watson",1996-09-09
EMP02291,"Jody Bird",1995-09-29
EMP02297,"Kevin Carson",1995-01-08
EMP02314,"Robert Burns",1999-12-26
EMP02316,"Kenneth Knight",1997-10-11
EMP02319,"Julia Cole",1998-11-28
EMP02324,"Sharon Mann",1996-07-21
EMP02333,"Jennifer Williams",1997-04-11
EMP02345,"John Russell",1996-07-05
EMP02352,"Jessica Buck",1998-05-04
EMP02353,"Aaron Marshall",1998-03-15
EMP02354,"Donna Stanton",1997-04-18
EMP02360,"Charles Hawkins",1995-08-09
EMP02365,"Joe Greene",1998-04-10
EMP02366,"Michael Lucas",1996-11-14
EMP02369,"Pamela Medina",1995-01-09
EMP02376,"Alejandro Campbell",1995-10-02
EMP02379,"Johnny Cox",1997-07-17
EMP02382,"Sergio Carroll",1996-03-05
EMP02386,"Crystal Mills",1996-03-15
EMP02387,"Cheryl Gregory",1996-04-14
EMP02389,"Jordan Pace",1997-10-27
EMP02391,"Jessica Carney",1994-12-09
EMP02403,"Gavin Bauer",1999-01-21
EMP02406,"Antonio Johnson",1997-12-18
EMP02411,"Brendan Walton",1998-02-01
EMP02415,"Rachel Gibson",1999-10-05
EMP02416,"Corey Garcia",1995-06-16
EMP02424,"Grant Wood",1995-12-03
EMP02427,"Jennifer Gonzalez",1999-10-22
EMP02430,"Ms. Erin Lane",1997-04-30
EMP02432,"Jesse Mccormick",1997-10-28
EMP02439,"Cory Willis",1999-06-11
EMP02453,"Chelsea Nichols",1999-02-11
EMP02460,"Frank Brooks",1996-01-05
EMP02469,"Jessica Mcdonald",1997-03-15
EMP02470,"Robert Stewart",1999-11-01
EMP02474,"Tammy Garcia",1997-12-18
EMP02476,"Gary Turner",1995-02-27
EMP02477,"Melinda Hill",1999-07-03
EMP02485,"Jose Hartman",1997-08-13
EMP02487,"Emily Lopez",1997-11-07
EMP02493,"Richard Medina",1996-12-20
EMP02498,"James Ferguson",1997-09-07
EMP02499,"Brian Hudson",1997-01-26
